Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
66	456	0	0.758663323	-0.0239481536	0.0488552088	-0.114372105	0.126353409	0.240725514	0	0	0	0	0	3
67	461	0	0.770158222	-0.0240024125	0.0509090655	-0.0732871176	0.126353409	0.199640527	0	0	0	0	0	3
68	467	0	0.78165312	-0.0250040353	0.0520064082	-0.031372643	0.126353409	0.157726052	0	0	0	0	0	3
69	473	0	0.793148019	-0.0248123575	0.0521555056	-0.0250040353	0.126353409	0.151357444	0	0	0	0	0	3
70	479	0	0.804642918	-0.0221401777	0.051498461	-0.0250040353	0.126353409	0.151357444	0	0	0	0	0	3
71	485	0	0.816137817	-0.0165887134	0.0500899325	-0.0250040353	0.126353409	0.151357444	0	0	0	0	0	3
72	491	0	0.827632716	-0.012296258	0.0481163844	-0.0250040353	0.126353409	0.151357444	0	0	0	0	0	3
73	496	0	0.839127615	-0.00730855787	0.0456386608	-0.0250040353	0.126353409	0.151357444	0	0	0	0	0	3
74	502	0	0.850622513	-0.00120205014	0.0429985562	-0.0250040353	0.126353409	0.151357444	0	0	0	0	0	3
75	508	0	0.862117412	-1.71131081e-005	0.0401264988	-0.0250040353	0.12574366	0.150747696	0	0	0	0	0	3
76	514	0	0.873612311	0.00247473256	0.0375142966	-0.0250040353	0.12574366	0.150747696	0	0	0	0	0	3
77	520	0	0.88510721	0.00285190447	0.0351251292	-0.0250040353	0.12574366	0.150747696	0	0	0	0	0	3
78	526	0	0.896602109	0.00272315338	0.0328687242	-0.0250040353	0.12574366	0.150747696	0	0	0	0	0	3
79	532	0	0.908097008	0.00132209882	0.0307484097	-0.0250040353	0.12574366	0.150747696	0	0	0	0	0	3
80	537	0	0.919591906	-0.000560368714	0.0284160592	-0.0250040353	0.12574366	0.150747696	0	0	0	0	0	3
81	543	0	0.931086805	-0.0039296697	0.0259148893	-0.0250040353	0.12574366	0.150747696	0	0	0	0	0	3
82	549	0	0.942581704	-0.00617508678	0.0231487422	-0.0250040353	0.12574366	0.150747696	0	0	0	0	0	3
83	555	0	0.954076603	-0.00877665471	0.0202608764	-0.0250040353	0.12574366	0.150747696	0	0	0	0	0	3
84	561	0	0.965571502	-0.0108162924	0.0171859827	-0.0250040353	0.12574366	0.145760096	0	0	0	0	0	3
85	567	0	0.9770664	-0.0153125552	0.0140885705	-0.0250040353	0.12574366	0.140552909	0	0	0	0	0	3
86	572	0	0.988561299	-0.0165766678	0.0108687084	-0.0250040353	0.12574366	0.135572884	0	0	0	0	0	3
87	578	0	1.0000562	-0.0202635248	0.00755036331	-0.0250040353	0.119779591	0.130954771	0.0100033508	7.6	0	0	0	3
88	584	0	1.0115511	-0.021976316	0.00432863816	-0.0250040353	0.105736843	0.0653945432	0.0100033508	15.2	0	0	0	3
89	590	0	1.023046	-0.0218294566	0.00142940407	-0.0250040353	0.0963224566	0.0599526985	0.0100033508	16.6	0	0	0	3
90	596	0	1.03454089	-0.0217110549	-0.00125317574	-0.0250040353	0.082346221	0.0563567403	0.0100033508	17.7	0	0	0	3
91	601	0	1.04603579	-0.0221790108	-0.00362874919	-0.0250040353	0.0752348545	0.0563567403	0.0100033508	17.7	0	0	0	3
92	607	0	1.05753069	-0.0208868779	-0.00581333401	-0.0250040353	0.0628614226	0.0579688397	0.0100033508	17.2	0	0	0	3
93	613	0	1.06902559	-0.0236387369	-0.00777924673	-0.0250040353	0.0560896883	0.0599347524	0.0100033508	16.6	0	0	0	3
94	619	0	1.08052049	-0.0221502358	-0.00955742682	-0.0250040353	0.0449418985	0.0617129325	0.0100033508	16.2	0	0	0	3
95	625	0	1.09201539	-0.021851194	-0.0110754517	-0.0250040353	0.0389511236	0.0632309573	0.0100033508	15.8	0	0	0	3
96	631	0	1.10351029	-0.0215018634	-0.0124493832	-0.0250040353	0.0314806047	0.0564846401	0.0100033508	17.7	0	0	0	3
97	637	0	1.11500519	-0.0204987393	-0.0136307319	-0.0250040353	0.0232726947	0.0482767301	0.0100033508	20.7	0	0	0	3
98	642	0	1.12650009	-0.0185921574	-0.0145822058	-0.0250040353	0.00927364653	0.0342776819	0.0100033508	29.1	0	0	0	3
99	648	0	1.13799498	-0.0223679453	-0.0153013329	-0.0250040353	0.00285190447	0.0278559398	0.0100033508	35.9	0	0	0	3
100	654	0	1.14948988	-0.0207798676	-0.0157734399	-0.0250040353	0.00285190447	0.0278559398	0.0100033508	35.9	0	0	0	3
101	661	0	1.16098478	-0.0226439363	-0.0160822052	-0.0250040353	0.00285190447	0.0278559398	0.0100033508	35.9	0	0	0	3
102	667	0	1.17247968	-0.0209704653	-0.016115662	-0.0250040353	0.00285190447	0.0278559398	0.0100033508	35.9	0	0	0	3
103	673	0	1.18397458	-0.0261060344	-0.0162984729	-0.0261060344	0.00285190447	0.0289579389	0.0100033508	34.5	0	0	0	3
104	679	0	1.19546948	-0.0247451019	-0.0164237226	-0.0261060344	0.00285190447	0.0289579389	0.0100033508	34.5	0	0	0	3
105	685	0	1.20696438	-0.0266830605	-0.0165139353	-0.0266830605	0.00285190447	0.029534965	0.0100033508	33.8	0	0	0	3
106	691	0	1.21845928	-0.0269350559	-0.0166107131	-0.0269350559	0.00285190447	0.0297869603	0.0100033508	33.5	0	0	0	3
107	697	0	1.22995417	-0.028061886	-0.0167129873	-0.028061886	0.00285190447	0.0309137905	0.0100033508	32.3	0	0	0	3
108	703	0	1.24144907	-0.0285038189	-0.0168073092	-0.0285038189	0.00285190447	0.0313557234	0.0100033508	31.9	0	0	0	3
109	709	0	1.25294397	-0.0281796918	-0.0168898015	-0.0285038189	0.00285190447	0.0313557234	0.0100033508	31.9	0	0	0	3
110	714	0	1.26443887	-0.0254884593	-0.0169248085	-0.0285038189	0.00285190447	0.0313557234	0.0100033508	31.9	0	0	0	3
111	720	0	1.27593377	-0.0244655871	-0.0169353352	-0.0285038189	0.00285190447	0.0313557234	0.0100033508	31.9	0	0	0	3
112	726	0	1.28742867	-0.0204015939	-0.0168307342	-0.0285038189	0.00285190447	0.0313557234	0.0100033508	31.9	0	0	0	3
113	732	0	1.29892357	-0.0189578281	-0.0166976767	-0.0285038189	0.00285190447	0.0313557234	0.0100033508	31.9	0	0	0	3
114	738	0	1.31041847	-0.0156671442	-0.0165505623	-0.0285038189	0.00285190447	0.0313557234	0.0100033508	31.9	0	0	0	3
115	744	0	1.32191337	-0.0144649707	-0.0165022955	-0.0285038189	0.00285190447	0.0313557234	0.0100033508	31.9	0	0	0	3
116	750	0	1.33340826	-0.0100104668	-0.0164503457	-0.0285038189	0.00285190447	0.0313557234	0.0100033508	31.9	0	0	0	3
117	756	0	1.34490316	-0.0105445695	-0.0165238914	-0.0285038189	0.00285190447	0.0313557234	0.0100033508	31.9	0	0	0	3
118	762	0	1.35639806	-0.00889469873	-0.0166987243	-0.0285038189	0.00285190447	0.0313557234	0.0100033508	31.9	0	0	0	3
119	768	0	1.36789296	-0.00907016668	-0.0169044755	-0.0285038189	0.00285190447	0.0313557234	0.0100033508	31.9	0	0	0	3
120	774	0	1.37938786	-0.00946707537	-0.0171758802	-0.0285038189	0.00285190447	0.0313557234	0.0100033508	31.9	0	0	0	3
121	780	0	1.39088276	-0.0116864433	-0.0175062972	-0.0285038189	0.00272315338	0.0312269723	0.0100033508	32	0	0	0	3
122	786	0	1.40237766	-0.00985309163	-0.017792121	-0.0285038189	0.00132209882	0.0298259177	0.0100033508	33.5	0	0	0	3
123	792	0	1.41387256	-0.0128076662	-0.018113252	-0.0285038189	-0.000560368714	0.0279434502	0.0100033508	35.7	0	0	0	3
124	798	0	1.42536745	-0.0108628251	-0.0183473987	-0.0285038189	-0.0039296697	0.0245741492	0.0100033508	40.7	0	0	0	3
125	804	0	1.43686235	-0.0121590568	-0.0185344303	-0.0285038189	-0.00617508678	0.0223287321	0.0100033508	44.8	0	0	0	3
126	810	0	1.44835725	-0.0127736918	-0.0186843986	-0.0285038189	-0.00877665471	0.0197271642	0.0100033508	50.7	0	0	0	3
127	816	0	1.45985215	-0.0143851535	-0.0188118644	-0.0285038189	-0.00889469873	0.0196091202	0.0100033508	51	0	0	0	3
128	822	0	1.47134705	-0.0110929396	-0.0188181519	-0.0285038189	-0.00889469873	0.0196091202	0.0100033508	51	0	0	0	3
129	828	0	1.48284195	-0.0108192591	-0.0187160315	-0.0285038189	-0.00889469873	0.0196091202	0.0100033508	51	0	0	0	3
130	834	0	1.49433685	-0.00800175408	-0.0185211471	-0.0285038189	-0.00800175408	0.0205020648	0.0100033508	48.7	0	0	0	3
131	840	0	1.50583175	-0.00723381821	-0.0182250174	-0.0285038189	-0.00723381821	0.0212700007	0.0100033508	47	0	0	0	3
132	846	0	1.51732665	-0.0043810055	-0.017825124	-0.0285038189	-0.0043810055	0.020247556	0.0100033508	49.4	0	0	0	3
133	852	0	1.52882154	-0.00447942786	-0.0174308052	-0.0285038189	-0.0043810055	0.0175649761	0.0100033508	56.9	0	0	0	3
134	858	0	1.54031644	-0.000721336475	-0.0169537661	-0.0285038189	-0.000721336475	0.0151894027	0.0100033508	65.8	0	0	0	3
135	864	0	1.55181134	-0.00338080185	-0.0165265341	-0.0285038189	-0.000721336475	0.0130048179	0.0100033508	76.9	0	0	0	3
136	870	0	1.56330624	-0.00292471448	-0.0161183031	-0.0285038189	-0.000721336475	0.0110389052	0.0100033508	90.6	0	0	0	3
137	876	0	1.57480114	-0.00615761159	-0.0157210048	-0.0285038189	-0.000721336475	0.00926072506	0.0100033508	100	0	0	0	3
138	882	0	1.58629604	-0.00615269845	-0.0153574244	-0.0285038189	-0.000721336475	0.00774270023	0.0100033508	100	0	0	0	3
139	888	0	1.59779094	-0.00757364161	-0.0150329346	-0.0285038189	-0.000721336475	0.00636876871	0.0100033508	100	0	0	0	3
140	894	0	1.60928584	-0.00160058469	-0.0145806328	-0.0285038189	-0.000721336475	0.00518741998	0.0100033508	100	0	0	0	3
141	900	0	1.62078073	-0.00184288909	-0.0141566362	-0.0285038189	-0.000721336475	0.00466151569	0.0100033508	100	0	0	0	3
142	906	0	1.63227563	0.00158310704	-0.0136981075	-0.0285038189	0.00158310704	0.00512004442	0.0100033508	100	0	0	0	3
143	912	0	1.64377053	0.00162826257	-0.0131527391	-0.0285038189	0.00162826257	0.00566541279	0.0100033508	100	0	0	0	3
144	918	0	1.65526543	0.00163141333	-0.0126433918	-0.0285038189	0.00163141333	0.00617476008	0.0100033508	100	0	0	0	3
145	924	0	1.66676033	0.00183039668	-0.012087157	-0.0285038189	0.00183039668	0.00673099492	0.0100033508	100	0	0	0	3
146	930	0	1.67825523	0.00569814919	-0.0114810521	-0.0285038189	0.00569814919	0.0073370998	0.0100033508	100	0	0	0	3
147	936	0	1.68975013	0.00338385095	-0.0108108274	-0.0285038189	0.00569814919	0.00800732446	0.0100033508	100	0	0	0	3
148	942	0	1.70124503	0.00505871844	-0.0101334679	-0.0285038189	0.00569814919	0.00868468402	0.0100033508	100	0	0	0	3
149	948	0	1.71273993	0.00275635316	-0.00946439029	-0.0285038189	0.00569814919	0.0093537616	0.0100033508	100	0	0	0	3
150	954	0	1.72423482	0.00161916982	-0.00881543061	-0.0285038189	0.00569814919	0.0100027213	0.0100033508	100	0	0	0	3
151	960	0	1.73572972	-0.00371640379	-0.0082621242	-0.0285038189	0.00569814919	0.0105560277	0.0100033508	94.7	0	0	0	3
152	966	0	1.74722462	-0.00274352679	-0.00767666301	-0.0281796918	0.00569814919	0.0111414889	0.0100033508	89.7	0	0	0	3
153	972	0	1.75871952	-0.00712530877	-0.00719815431	-0.0254884593	0.00569814919	0.0116199976	0.0100033508	86	0	0	0	3
154	978	0	1.77021442	-0.00488971168	-0.00673000095	-0.0244655871	0.00569814919	0.0120881509	0.0100033508	82.7	0	0	0	3
155	984	0	1.78170932	-0.00829708649	-0.00636253503	-0.0204015939	0.00569814919	0.0124556169	0.0100033508	80.3	0	0	0	3
156	990	0	1.79320422	-0.00725586192	-0.00606376839	-0.0189578281	0.00569814919	0.0127543835	0.0100033508	78.4	0	0	0	3
157	996	0	1.80469912	-0.00969241322	-0.00585319078	-0.0156671442	0.00569814919	0.0129649611	0.0100033508	77.1	0	0	0	3
158	1001	0	1.81619402	-0.00653956802	-0.00564574587	-0.0144649707	0.00569814919	0.013172406	0.0100033508	75.9	0	0	0	3
159	1008	0	1.82768891	-0.0108508821	-0.00556360749	-0.0143851535	0.00569814919	0.0132545444	0.0100033508	75.4	0	0	0	3
160	1014	0	1.83918381	-0.00738555882	-0.00550395049	-0.0143851535	0.00569814919	0.0133142014	0.0100033508	75.1	0	0	0	3
161	1020	0	1.85067871	-0.00793591802	-0.00544466296	-0.0143851535	0.00569814919	0.0133734889	0.0100033508	74.7	0	0	0	3
162	1026	0	1.86217361	-0.00408511483	-0.00533535423	-0.0143851535	0.00569814919	0.0134827977	0.0100033508	74.1	0	0	0	3
163	1032	0	1.87366851	-0.00402178416	-0.00522061827	-0.0143851535	0.00569814919	0.0135975336	0.0100033508	73.5	0	0	0	3
164	1038	0	1.88516341	0.00236126392	-0.00495179237	-0.0143851535	0.00569814919	0.0138663595	0.0100033508	72.1	0	0	0	3
165	1044	0	1.89665831	0.00172555507	-0.00464697423	-0.0143851535	0.00569814919	0.0141711777	0.0100033508	70.5	0	0	0	3
166	1050	0	1.90815321	0.00459388035	-0.00431863396	-0.0143851535	0.00569814919	0.0144995179	0.0100033508	68.9	0	0	0	3
167	1056	0	1.9196481	0.00346644453	-0.0039487678	-0.0143851535	0.00569814919	0.0148693841	0.0100033508	67.2	0	0	0	3
168	1062	0	1.931143	0.00333343602	-0.00362612551	-0.0143851535	0.00569814919	0.0151920264	0.0100033508	65.8	0	0	0	3
169	1068	0	1.9426379	0.00207980025	-0.00330251512	-0.0143851535	0.00569814919	0.0155156368	0.0100033508	64.4	0	0	0	3
170	1074	0	1.9541328	0.00392208671	-0.00292306561	-0.0143851535	0.00569814919	0.0158950863	0.0100033508	62.9	0	0	0	3
171	1080	0	1.9656277	0.00495059747	-0.00248361672	-0.0110929396	0.00569814919	0.0163345352	0.0100033508	61.2	0	0	0	3
172	1086	0	1.9771226	0.0048378754	-0.00212155274	-0.0108508821	0.00569814919	0.0165490313	0.0100033508	60.4	0	0	0	3
173	1092	0	1.9886175	0.00566856275	-0.00174682952	-0.0108508821	0.00569814919	0.0165490313	0.0100033508	60.4	0	0	0	3
174	1098	0	2.0001124	0.0030446013	-0.00149577599	-0.0108508821	0.00569814919	0.0165490313	0.0100033508	60.4	0	0	0	3
175	1104	0	2.0116073	0.00428520402	-0.00123398003	-0.0108508821	0.00569814919	0.0165490313	0.0100033508	60.4	0	0	0	3
176	1110	0	2.02310219	0.00312611963	-0.00106336355	-0.0108508821	0.00569814919	0.0163674416	0.0100033508	61.1	0	0	0	3
177	1116	0	2.03459709	0.00191501013	-0.000918035411	-0.0108508821	0.00569814919	0.0160357307	0.0100033508	62.3	0	0	0	3
178	1122	0	2.04609199	-0.000479996503	-0.000912550412	-0.0108508821	0.00569814919	0.0156139837	0.0100033508	64	0	0	0	3
179	1128	0	2.05758689	-0.00101153087	-0.000858703344	-0.0108508821	0.00569814919	0.0152595998	0.0100033508	65.5	0	0	0	3
180	1134	0	2.06908179	-0.00447466388	-0.000893929467	-0.0108508821	0.00569814919	0.0148623015	0.0100033508	67.3	0	0	0	3
181	1140	0	2.08057669	-0.00346203712	-0.000832666411	-0.0108508821	0.00569814919	0.014524758	0.0100033508	68.8	0	0	0	3
182	1146	0	2.09207159	-0.0044911903	-0.000794904862	-0.0108508821	0.00569814919	0.0142380297	0.0100033508	70.2	0	0	0	3
183	1153	0	2.10356649	-0.004905184	-0.000734258098	-0.0108508821	0.00569814919	0.0138463747	0.0100033508	72.2	0	0	0	3
184	1159	0	2.11506138	-0.00491379609	-0.000809558357	-0.0108508821	0.00569814919	0.0134223781	0.0100033508	74.5	0	0	0	3
185	1165	0	2.12655628	-0.00279472276	-0.000831190941	-0.0108508821	0.00569814919	0.0129638494	0.0100033508	77.1	0	0	0	3
186	1171	0	2.13805118	-0.00533578935	-0.000988438586	-0.0108508821	0.00569814919	0.012418481	0.0100033508	80.5	0	0	0	3
187	1177	0	2.14954608	-0.00454369891	-0.00112871044	-0.0108508821	0.00569814919	0.0119091337	0.0100033508	83.9	0	0	0	3
188	1183	0	2.16104098	-0.00545587903	-0.00128978526	-0.0108508821	0.00569814919	0.0113528989	0.0100033508	88.1	0	0	0	3
189	1189	0	2.17253588	-0.00548414119	-0.00145602476	-0.0108508821	0.00569814919	0.010746794	0.0100033508	93	0	0	0	3
